month,year,logan2013,bear2015,weber2014
3,819,NA,NA,NA
4,819,NA,NA,NA
5,819,NA,NA,NA
6,819,NA,NA,NA
7,819,NA,NA,NA
8,819,NA,NA,NA
9,819,NA,NA,NA
10,819,NA,NA,NA
11,819,NA,NA,NA
12,819,NA,NA,NA
1,820,NA,NA,NA
2,820,NA,NA,NA
3,820,NA,NA,NA
4,820,NA,NA,NA
5,820,NA,NA,NA
6,820,NA,NA,NA
7,820,NA,NA,NA
8,820,NA,NA,NA
9,820,NA,NA,NA
10,820,NA,NA,NA
11,820,NA,NA,NA
12,820,NA,NA,NA
1,821,NA,NA,NA
2,821,NA,NA,NA
3,821,NA,NA,NA
4,821,NA,NA,NA
5,821,NA,NA,NA
6,821,NA,NA,NA
7,821,NA,NA,NA
8,821,NA,NA,NA
9,821,NA,NA,NA
10,821,NA,NA,NA
11,821,NA,NA,NA
12,821,NA,NA,NA
1,822,NA,NA,NA
2,822,NA,NA,NA
3,822,NA,NA,NA
4,822,NA,NA,NA
5,822,NA,NA,NA
6,822,NA,NA,NA
7,822,NA,NA,NA
8,822,NA,NA,NA
9,822,NA,NA,NA
10,822,NA,NA,NA
11,822,NA,NA,NA
12,822,NA,NA,NA
1,823,NA,NA,NA
2,823,NA,NA,NA
3,823,NA,NA,NA
4,823,NA,NA,NA
5,823,NA,NA,NA
6,823,NA,NA,NA
7,823,NA,NA,NA
8,823,NA,NA,NA
9,823,NA,NA,NA
10,823,NA,NA,NA
11,823,NA,NA,NA
12,823,NA,NA,NA
1,824,NA,NA,NA
2,824,NA,NA,NA
3,824,NA,NA,NA
4,824,NA,NA,NA
5,824,NA,NA,NA
6,824,NA,NA,NA
7,824,NA,NA,NA
8,824,NA,NA,NA
9,824,NA,NA,NA
10,824,NA,NA,NA
11,824,NA,NA,NA
12,824,NA,NA,NA
1,825,NA,NA,NA
2,825,NA,NA,NA
3,825,NA,NA,NA
4,825,NA,NA,NA
5,825,NA,NA,NA
6,825,NA,NA,NA
7,825,NA,NA,NA
8,825,NA,NA,NA
9,825,NA,NA,NA
10,825,NA,NA,NA
11,825,NA,NA,NA
12,825,NA,NA,NA
1,826,NA,NA,NA
2,826,NA,NA,NA
3,826,NA,NA,NA
4,826,NA,NA,NA
5,826,NA,NA,NA
6,826,NA,NA,NA
7,826,NA,NA,NA
8,826,NA,NA,NA
9,826,NA,NA,NA
10,826,NA,NA,NA
11,826,NA,NA,NA
12,826,NA,NA,NA
1,827,NA,NA,NA
2,827,NA,NA,NA
3,827,NA,NA,NA
4,827,NA,NA,NA
5,827,NA,NA,NA
6,827,NA,NA,NA
7,827,NA,NA,NA
8,827,NA,NA,NA
9,827,NA,NA,NA
10,827,NA,NA,NA
11,827,NA,NA,NA
12,827,NA,NA,NA
1,828,NA,NA,NA
2,828,NA,NA,NA
3,828,NA,NA,NA
4,828,NA,NA,NA
5,828,NA,NA,NA
6,828,NA,NA,NA
7,828,NA,NA,NA
8,828,NA,NA,NA
9,828,NA,NA,NA
10,828,NA,NA,NA
11,828,NA,NA,NA
12,828,NA,NA,NA
1,829,NA,NA,NA
2,829,NA,NA,NA
3,829,NA,NA,NA
4,829,NA,NA,NA
5,829,NA,NA,NA
6,829,NA,NA,NA
7,829,NA,NA,NA
8,829,NA,NA,NA
9,829,NA,NA,NA
10,829,NA,NA,NA
11,829,NA,NA,NA
12,829,NA,NA,NA
1,830,NA,NA,NA
2,830,NA,NA,NA
3,830,NA,NA,NA
4,830,NA,NA,NA
5,830,NA,NA,NA
6,830,NA,NA,NA
7,830,NA,NA,NA
8,830,NA,NA,NA
9,830,NA,NA,NA
10,830,NA,NA,NA
11,830,NA,NA,NA
12,830,NA,NA,NA
1,831,NA,NA,NA
2,831,NA,NA,NA
3,831,NA,NA,NA
4,831,NA,NA,NA
5,831,NA,NA,NA
6,831,NA,NA,NA
7,831,NA,NA,NA
8,831,NA,NA,NA
9,831,NA,NA,NA
10,831,NA,NA,NA
11,831,NA,NA,NA
12,831,NA,NA,NA
1,832,NA,NA,NA
2,832,NA,NA,NA
3,832,NA,NA,NA
4,832,NA,NA,NA
5,832,NA,NA,NA
6,832,NA,NA,NA
7,832,NA,NA,NA
8,832,NA,NA,NA
9,832,NA,NA,NA
10,832,NA,NA,NA
11,832,NA,NA,NA
12,832,NA,NA,NA
1,833,NA,NA,NA
2,833,NA,NA,NA
3,833,NA,NA,NA
4,833,NA,NA,NA
5,833,NA,NA,NA
6,833,NA,NA,NA
7,833,NA,NA,NA
8,833,NA,NA,NA
9,833,NA,NA,NA
10,833,NA,NA,NA
11,833,NA,NA,NA
12,833,NA,NA,NA
1,834,NA,NA,NA
2,834,NA,NA,NA
3,834,NA,NA,NA
4,834,NA,NA,NA
5,834,NA,NA,NA
6,834,NA,NA,NA
7,834,NA,NA,NA
8,834,NA,NA,NA
9,834,NA,NA,NA
10,834,NA,NA,NA
11,834,NA,NA,NA
12,834,NA,NA,NA
1,835,NA,NA,NA
2,835,NA,NA,NA
3,835,NA,NA,NA
4,835,NA,NA,NA
5,835,NA,NA,NA
6,835,NA,NA,NA
7,835,NA,NA,NA
8,835,NA,NA,NA
9,835,NA,NA,NA
10,835,NA,NA,NA
11,835,NA,NA,NA
12,835,NA,NA,NA
1,836,NA,NA,NA
2,836,NA,NA,NA
3,836,NA,NA,NA
4,836,NA,NA,NA
5,836,NA,NA,NA
6,836,NA,NA,NA
7,836,NA,NA,NA
8,836,NA,NA,NA
9,836,NA,NA,NA
10,836,NA,NA,NA
11,836,NA,NA,NA
12,836,NA,NA,NA
1,837,NA,NA,NA
2,837,NA,NA,NA
3,837,NA,NA,NA
4,837,NA,NA,NA
5,837,NA,NA,NA
6,837,NA,NA,NA
7,837,NA,NA,NA
8,837,NA,NA,NA
9,837,NA,NA,NA
10,837,NA,NA,NA
11,837,NA,NA,NA
12,837,NA,NA,NA
1,838,NA,NA,NA
2,838,NA,NA,NA
3,838,NA,NA,NA
4,838,NA,NA,NA
5,838,NA,NA,NA
6,838,NA,NA,NA
7,838,NA,NA,NA
8,838,NA,NA,NA
9,838,NA,NA,NA
10,838,NA,NA,NA
11,838,NA,NA,NA
12,838,NA,NA,NA
1,839,NA,NA,NA
2,839,NA,NA,NA
3,839,NA,NA,NA
4,839,NA,NA,NA
5,839,NA,NA,NA
6,839,NA,NA,NA
7,839,NA,NA,NA
8,839,NA,NA,NA
9,839,NA,NA,NA
10,839,NA,NA,NA
11,839,NA,NA,NA
12,839,NA,NA,NA
1,840,NA,NA,NA
2,840,NA,NA,NA
3,840,NA,NA,NA
4,840,NA,NA,NA
5,840,NA,NA,NA
6,840,NA,NA,NA
7,840,NA,NA,NA
8,840,NA,NA,NA
9,840,NA,NA,NA
10,840,NA,NA,NA
11,840,NA,NA,NA
12,840,NA,NA,NA
1,841,NA,NA,NA
2,841,NA,NA,NA
3,841,NA,NA,NA
4,841,NA,NA,NA
5,841,NA,NA,NA
6,841,NA,NA,NA
7,841,NA,NA,NA
8,841,NA,NA,NA
9,841,NA,NA,NA
10,841,NA,NA,NA
11,841,NA,NA,NA
12,841,NA,NA,NA
1,842,NA,NA,NA
2,842,NA,NA,NA
3,842,NA,NA,NA
4,842,NA,NA,NA
5,842,NA,NA,NA
6,842,NA,NA,NA
7,842,NA,NA,NA
8,842,NA,NA,NA
9,842,NA,NA,NA
10,842,NA,NA,NA
11,842,NA,NA,NA
12,842,NA,NA,NA
1,843,NA,NA,NA
2,843,NA,NA,NA
3,843,NA,NA,NA
4,843,NA,NA,NA
5,843,NA,NA,NA
6,843,NA,NA,NA
7,843,NA,NA,NA
8,843,NA,NA,NA
9,843,NA,NA,NA
10,843,NA,NA,NA
11,843,NA,NA,NA
12,843,NA,NA,NA
1,844,NA,NA,NA
2,844,NA,NA,NA
3,844,NA,NA,NA
4,844,NA,NA,NA
5,844,NA,NA,NA
6,844,NA,NA,NA
7,844,NA,NA,NA
8,844,NA,NA,NA
9,844,NA,NA,NA
10,844,NA,NA,NA
11,844,NA,NA,NA
12,844,NA,NA,NA
1,845,NA,NA,NA
2,845,NA,NA,NA
3,845,NA,NA,NA
4,845,NA,NA,NA
5,845,NA,NA,NA
6,845,NA,NA,NA
7,845,NA,NA,NA
8,845,NA,NA,NA
9,845,NA,NA,NA
10,845,NA,NA,NA
11,845,NA,NA,NA
12,845,NA,NA,NA
1,846,NA,NA,NA
2,846,NA,NA,NA
3,846,NA,NA,NA
4,846,NA,NA,NA
5,846,NA,NA,NA
6,846,NA,NA,NA
7,846,NA,NA,NA
8,846,NA,NA,NA
9,846,NA,NA,NA
10,846,NA,NA,NA
11,846,NA,NA,NA
12,846,NA,NA,NA
1,847,NA,NA,NA
2,847,NA,NA,NA
3,847,NA,NA,NA
4,847,NA,NA,NA
5,847,NA,NA,NA
6,847,NA,NA,NA
7,847,NA,NA,NA
8,847,NA,NA,NA
9,847,NA,NA,NA
10,847,NA,NA,NA
11,847,NA,NA,NA
12,847,NA,NA,NA
1,848,NA,NA,NA
2,848,NA,NA,NA
3,848,NA,NA,NA
4,848,NA,NA,NA
5,848,NA,NA,NA
6,848,NA,NA,NA
7,848,NA,NA,NA
8,848,NA,NA,NA
9,848,NA,NA,NA
10,848,NA,NA,NA
11,848,NA,NA,NA
12,848,NA,NA,NA
1,849,NA,NA,NA
2,849,NA,NA,NA
3,849,NA,NA,NA
4,849,NA,NA,NA
5,849,NA,NA,NA
6,849,NA,NA,NA
7,849,NA,NA,NA
8,849,NA,NA,NA
9,849,NA,NA,NA
10,849,NA,NA,NA
11,849,NA,NA,NA
12,849,NA,NA,NA
1,850,NA,NA,NA
2,850,NA,NA,NA
3,850,NA,NA,NA
4,850,NA,NA,NA
5,850,NA,NA,NA
6,850,NA,NA,NA
7,850,NA,NA,NA
8,850,NA,NA,NA
9,850,NA,NA,NA
10,850,NA,NA,NA
11,850,NA,NA,NA
12,850,NA,NA,NA
1,851,NA,NA,NA
2,851,NA,NA,NA
3,851,NA,NA,NA
4,851,NA,NA,NA
5,851,NA,NA,NA
6,851,NA,NA,NA
7,851,NA,NA,NA
8,851,NA,NA,NA
9,851,NA,NA,NA
10,851,NA,NA,NA
11,851,NA,NA,NA
12,851,NA,NA,NA
1,852,NA,NA,NA
2,852,NA,NA,NA
3,852,NA,NA,NA
4,852,NA,NA,NA
5,852,NA,NA,NA
6,852,NA,NA,NA
7,852,NA,NA,NA
8,852,NA,NA,NA
9,852,NA,NA,NA
10,852,NA,NA,NA
11,852,NA,NA,NA
12,852,NA,NA,NA
1,853,NA,NA,NA
2,853,NA,NA,NA
3,853,NA,NA,NA
4,853,NA,NA,NA
5,853,NA,NA,NA
6,853,NA,NA,NA
7,853,NA,NA,NA
8,853,NA,NA,NA
9,853,NA,NA,NA
10,853,NA,NA,NA
11,853,NA,NA,NA
12,853,NA,NA,NA
1,854,NA,NA,NA
2,854,NA,NA,NA
3,854,NA,NA,NA
4,854,NA,NA,NA
5,854,NA,NA,NA
6,854,NA,NA,NA
7,854,NA,NA,NA
8,854,NA,NA,NA
9,854,NA,NA,NA
10,854,NA,NA,NA
11,854,NA,NA,NA
12,854,NA,NA,NA
1,855,NA,NA,NA
2,855,NA,NA,NA
3,855,NA,NA,NA
4,855,NA,NA,NA
5,855,NA,NA,NA
6,855,NA,NA,NA
7,855,NA,NA,NA
8,855,NA,NA,NA
9,855,NA,NA,NA
10,855,NA,NA,NA
11,855,NA,NA,NA
12,855,NA,NA,NA
1,856,NA,NA,NA
2,856,NA,NA,NA
3,856,NA,NA,NA
4,856,NA,NA,NA
5,856,NA,NA,NA
6,856,NA,NA,NA
7,856,NA,NA,NA
8,856,NA,NA,NA
9,856,NA,NA,NA
10,856,NA,NA,NA
11,856,NA,NA,NA
12,856,NA,NA,NA
1,857,NA,NA,NA
2,857,NA,NA,NA
3,857,NA,NA,NA
4,857,NA,NA,NA
5,857,NA,NA,NA
6,857,NA,NA,NA
7,857,NA,NA,NA
8,857,NA,NA,NA
9,857,NA,NA,NA
10,857,NA,NA,NA
11,857,NA,NA,NA
12,857,NA,NA,NA
1,858,NA,NA,NA
2,858,NA,NA,NA
3,858,NA,NA,NA
4,858,NA,NA,NA
5,858,NA,NA,NA
6,858,NA,NA,NA
7,858,NA,NA,NA
8,858,NA,NA,NA
9,858,NA,NA,NA
10,858,NA,NA,NA
11,858,NA,NA,NA
12,858,NA,NA,NA
1,859,NA,NA,NA
2,859,NA,NA,NA
3,859,NA,NA,NA
4,859,NA,NA,NA
5,859,NA,NA,NA
6,859,NA,NA,NA
7,859,NA,NA,NA
8,859,NA,NA,NA
9,859,NA,NA,NA
10,859,NA,NA,NA
11,859,NA,NA,NA
12,859,NA,NA,NA
1,860,NA,NA,NA
2,860,NA,NA,NA
3,860,NA,NA,NA
4,860,NA,NA,NA
5,860,NA,NA,NA
6,860,NA,NA,NA
7,860,NA,NA,NA
8,860,NA,NA,NA
9,860,NA,NA,NA
10,860,NA,NA,NA
11,860,NA,NA,NA
12,860,NA,NA,NA
1,861,NA,NA,NA
2,861,NA,NA,NA
3,861,NA,NA,NA
4,861,NA,NA,NA
5,861,NA,NA,NA
6,861,NA,NA,NA
7,861,NA,NA,NA
8,861,NA,NA,NA
9,861,NA,NA,NA
10,861,NA,NA,NA
11,861,NA,NA,NA
12,861,NA,NA,NA
1,862,NA,NA,NA
2,862,NA,NA,NA
3,862,NA,NA,NA
4,862,NA,NA,NA
5,862,NA,NA,NA
6,862,NA,NA,NA
7,862,NA,NA,NA
8,862,NA,NA,NA
9,862,NA,NA,NA
10,862,NA,NA,NA
11,862,NA,NA,NA
12,862,NA,NA,NA
1,863,NA,NA,NA
2,863,NA,NA,NA
3,863,NA,NA,NA
4,863,NA,NA,NA
5,863,NA,NA,NA
6,863,NA,NA,NA
7,863,NA,NA,NA
8,863,NA,NA,NA
9,863,NA,NA,NA
10,863,NA,NA,NA
11,863,NA,NA,NA
12,863,NA,NA,NA
1,864,NA,NA,NA
2,864,NA,NA,NA
3,864,NA,NA,NA
4,864,NA,NA,NA
5,864,NA,NA,NA
6,864,NA,NA,NA
7,864,NA,NA,NA
8,864,NA,NA,NA
9,864,NA,NA,NA
10,864,NA,NA,NA
11,864,NA,NA,NA
12,864,NA,NA,NA
1,865,NA,NA,NA
2,865,NA,NA,NA
3,865,NA,NA,NA
4,865,NA,NA,NA
5,865,NA,NA,NA
6,865,NA,NA,NA
7,865,NA,NA,NA
8,865,NA,NA,NA
9,865,NA,NA,NA
10,865,NA,NA,NA
11,865,NA,NA,NA
12,865,NA,NA,NA
1,866,NA,NA,NA
2,866,NA,NA,NA
3,866,NA,NA,NA
4,866,NA,NA,NA
5,866,NA,NA,NA
6,866,NA,NA,NA
7,866,NA,NA,NA
8,866,NA,NA,NA
9,866,NA,NA,NA
10,866,NA,NA,NA
11,866,NA,NA,NA
12,866,NA,NA,NA
1,867,NA,NA,NA
2,867,NA,NA,NA
3,867,NA,NA,NA
4,867,NA,NA,NA
5,867,NA,NA,NA
6,867,NA,NA,NA
7,867,NA,NA,NA
8,867,NA,NA,NA
9,867,NA,NA,NA
10,867,NA,NA,NA
11,867,NA,NA,NA
12,867,NA,NA,NA
1,868,NA,NA,NA
2,868,NA,NA,NA
3,868,NA,NA,NA
4,868,NA,NA,NA
5,868,NA,NA,NA
6,868,NA,NA,NA
7,868,NA,NA,NA
8,868,NA,NA,NA
9,868,NA,NA,NA
10,868,NA,NA,NA
11,868,NA,NA,NA
12,868,NA,NA,NA
1,869,NA,NA,NA
2,869,NA,NA,NA
3,869,NA,NA,NA
4,869,NA,NA,NA
5,869,NA,NA,NA
6,869,NA,NA,NA
7,869,NA,NA,NA
8,869,NA,NA,NA
9,869,NA,NA,NA
10,869,NA,NA,NA
11,869,NA,NA,NA
12,869,NA,NA,NA
1,870,NA,NA,NA
2,870,NA,NA,NA
3,870,NA,NA,NA
4,870,NA,NA,NA
5,870,NA,NA,NA
6,870,NA,NA,NA
7,870,NA,NA,NA
8,870,NA,NA,NA
9,870,NA,NA,NA
10,870,NA,NA,NA
11,870,NA,NA,NA
12,870,NA,NA,NA
1,871,NA,NA,NA
2,871,NA,NA,NA
3,871,NA,NA,NA
4,871,NA,NA,NA
5,871,NA,NA,NA
6,871,NA,NA,NA
7,871,NA,NA,NA
8,871,NA,NA,NA
9,871,NA,NA,NA
10,871,NA,NA,NA
11,871,NA,NA,NA
12,871,NA,NA,NA
1,872,NA,NA,NA
2,872,NA,NA,NA
3,872,NA,NA,NA
4,872,NA,NA,NA
5,872,NA,NA,NA
6,872,NA,NA,NA
7,872,NA,NA,NA
8,872,NA,NA,NA
9,872,NA,NA,NA
10,872,NA,NA,NA
11,872,NA,NA,NA
12,872,NA,NA,NA
1,873,NA,NA,NA
2,873,NA,NA,NA
3,873,NA,NA,NA
4,873,NA,NA,NA
5,873,NA,NA,NA
6,873,NA,NA,NA
7,873,NA,NA,NA
8,873,NA,NA,NA
9,873,NA,NA,NA
10,873,NA,NA,NA
11,873,NA,NA,NA
12,873,NA,NA,NA
1,874,NA,NA,NA
2,874,NA,NA,NA
3,874,NA,NA,NA
4,874,NA,NA,NA
5,874,NA,NA,NA
6,874,NA,NA,NA
7,874,NA,NA,NA
8,874,NA,NA,NA
9,874,NA,NA,NA
10,874,NA,NA,NA
11,874,NA,NA,NA
12,874,NA,NA,NA
1,875,NA,NA,NA
2,875,NA,NA,NA
3,875,NA,NA,NA
4,875,NA,NA,NA
5,875,NA,NA,NA
6,875,NA,NA,NA
7,875,NA,NA,NA
8,875,NA,NA,NA
9,875,NA,NA,NA
10,875,NA,NA,NA
11,875,NA,NA,NA
12,875,NA,NA,NA
1,876,NA,NA,NA
2,876,NA,NA,NA
3,876,NA,NA,NA
4,876,NA,NA,NA
5,876,NA,NA,NA
6,876,NA,NA,NA
7,876,NA,NA,NA
8,876,NA,NA,NA
9,876,NA,NA,NA
10,876,NA,NA,NA
11,876,NA,NA,NA
12,876,NA,NA,NA
1,877,NA,NA,NA
2,877,NA,NA,NA
3,877,NA,NA,NA
4,877,NA,NA,NA
5,877,NA,NA,NA
6,877,NA,NA,NA
7,877,NA,NA,NA
8,877,NA,NA,NA
9,877,NA,NA,NA
10,877,NA,NA,NA
11,877,NA,NA,NA
12,877,NA,NA,NA
1,878,NA,NA,NA
2,878,NA,NA,NA
3,878,NA,NA,NA
4,878,NA,NA,NA
5,878,NA,NA,NA
6,878,NA,NA,NA
7,878,NA,NA,NA
8,878,NA,NA,NA
9,878,NA,NA,NA
10,878,NA,NA,NA
11,878,NA,NA,NA
12,878,NA,NA,NA
1,879,NA,NA,NA
2,879,NA,NA,NA
3,879,NA,NA,NA
4,879,NA,NA,NA
5,879,NA,NA,NA
6,879,NA,NA,NA
7,879,NA,NA,NA
8,879,NA,NA,NA
9,879,NA,NA,NA
10,879,NA,NA,NA
11,879,NA,NA,NA
12,879,NA,NA,NA
1,880,NA,NA,NA
2,880,NA,NA,NA
3,880,NA,NA,NA
4,880,NA,NA,NA
5,880,NA,NA,NA
6,880,NA,NA,NA
7,880,NA,NA,NA
8,880,NA,NA,NA
9,880,NA,NA,NA
10,880,NA,NA,NA
11,880,NA,NA,NA
12,880,NA,NA,NA
1,881,NA,NA,NA
2,881,NA,NA,NA
3,881,NA,NA,NA
4,881,NA,NA,NA
5,881,NA,NA,NA
6,881,NA,NA,NA
7,881,NA,NA,NA
8,881,NA,NA,NA
9,881,NA,NA,NA
10,881,NA,NA,NA
11,881,NA,NA,NA
12,881,NA,NA,NA
1,882,NA,NA,NA
2,882,NA,NA,NA
3,882,NA,NA,NA
4,882,NA,NA,NA
5,882,NA,NA,NA
6,882,NA,NA,NA
7,882,NA,NA,NA
8,882,NA,NA,NA
9,882,NA,NA,NA
10,882,NA,NA,NA
11,882,NA,NA,NA
12,882,NA,NA,NA
1,883,NA,NA,NA
2,883,NA,NA,NA
3,883,NA,NA,NA
4,883,NA,NA,NA
5,883,NA,NA,NA
6,883,NA,NA,NA
7,883,NA,NA,NA
8,883,NA,NA,NA
9,883,NA,NA,NA
10,883,NA,NA,NA
11,883,NA,NA,NA
12,883,NA,NA,NA
1,884,NA,NA,NA
2,884,NA,NA,NA
3,884,NA,NA,NA
4,884,NA,NA,NA
5,884,NA,NA,NA
6,884,NA,NA,NA
7,884,NA,NA,NA
8,884,NA,NA,NA
9,884,NA,NA,NA
10,884,NA,NA,NA
11,884,NA,NA,NA
12,884,NA,NA,NA
1,885,NA,NA,NA
2,885,NA,NA,NA
3,885,NA,NA,NA
4,885,NA,NA,NA
5,885,NA,NA,NA
6,885,NA,NA,NA
7,885,NA,NA,NA
8,885,NA,NA,NA
9,885,NA,NA,NA
10,885,NA,NA,NA
11,885,NA,NA,NA
12,885,NA,NA,NA
1,886,NA,NA,NA
2,886,NA,NA,NA
3,886,NA,NA,NA
4,886,NA,NA,NA
5,886,NA,NA,NA
6,886,NA,NA,NA
7,886,NA,NA,NA
8,886,NA,NA,NA
9,886,NA,NA,NA
10,886,NA,NA,NA
11,886,NA,NA,NA
12,886,NA,NA,NA
1,887,NA,NA,NA
2,887,NA,NA,NA
3,887,NA,NA,NA
4,887,NA,NA,NA
5,887,NA,NA,NA
6,887,NA,NA,NA
7,887,NA,NA,NA
8,887,NA,NA,NA
9,887,NA,NA,NA
10,887,NA,NA,NA
11,887,NA,NA,NA
12,887,NA,NA,NA
1,888,NA,NA,NA
2,888,NA,NA,NA
3,888,NA,NA,NA
4,888,NA,NA,NA
5,888,NA,NA,NA
6,888,NA,NA,NA
